319389063770985000000000000000000000000;BP01: Advent of Genesis;bp01;Soul Conversion;BP01-116EN;Silver;http://tcgplayer.com/product/502077/shadowverse-evolve-bp01-advent-of-genesis-soul-conversion?page=1;None;
185115922637934000000000000000000000000;BP01: Advent of Genesis;bp01;Bellringer Angel;BP01-159EN;Gold;http://tcgplayer.com/product/502186/shadowverse-evolve-bp01-advent-of-genesis-bellringer-angel?page=1;None;
40787274334419200000000000000000000000;BP01: Advent of Genesis;bp01;Trail of Light;BP01-170EN;Silver;http://tcgplayer.com/product/502099/shadowverse-evolve-bp01-advent-of-genesis-trail-of-light?page=1;None;
270209816306224000000000000000000000000;BP01: Advent of Genesis;bp01;Merlin;BP01-052EN;Legendary;http://tcgplayer.com/product/502295/shadowverse-evolve-bp01-advent-of-genesis-merlin?page=1;None;
27089864061980500000000000000000000000;BP01: Advent of Genesis;bp01;Aiela, Dragon Knight;BP01-079EN;Gold;http://tcgplayer.com/product/502142/shadowverse-evolve-bp01-advent-of-genesis-aiela-dragon-knight?page=1;None;
116358543076325000000000000000000000000;BP01: Advent of Genesis;bp01;Merlin (Evolved);BP01-053EN;Legendary;http://tcgplayer.com/product/502311/shadowverse-evolve-bp01-advent-of-genesis-merlin-evolved?page=1;None;
142674136062422000000000000000000000000;BP01: Advent of Genesis;bp01;Blazing Breath;BP01-098EN;Bronze;http://tcgplayer.com/product/502191/shadowverse-evolve-bp01-advent-of-genesis-blazing-breath?page=1;None;
112431944398923000000000000000000000000;BP01: Advent of Genesis;bp01;Death's Breath;BP01-115EN;Silver;http://tcgplayer.com/product/502074/shadowverse-evolve-bp01-advent-of-genesis-deaths-breath?page=1;None;
325148294576257000000000000000000000000;BP01: Advent of Genesis;bp01;Phantom Howl;BP01-114EN;Silver;http://tcgplayer.com/product/502072/shadowverse-evolve-bp01-advent-of-genesis-phantom-howl?page=1;None;
157837062777786000000000000000000000000;BP01: Advent of Genesis;bp01;Nature's Guidance;BP01-015EN;Silver;http://tcgplayer.com/product/502095/shadowverse-evolve-bp01-advent-of-genesis-natures-guidance?page=1;None;
91905847737346100000000000000000000000;BP01: Advent of Genesis;bp01;Goliath (Evolved);BP01-175EN;Bronze;http://tcgplayer.com/product/502146/shadowverse-evolve-bp01-advent-of-genesis-goliath-evolved?page=1;None;
246789559564320000000000000000000000000;BP01: Advent of Genesis;bp01;Fighter;BP01-173EN;Bronze;http://tcgplayer.com/product/502128/shadowverse-evolve-bp01-advent-of-genesis-fighter?page=1;None;
76771677195010800000000000000000000000;BP01: Advent of Genesis;bp01;Goliath;BP01-174EN;Bronze;http://tcgplayer.com/product/502138/shadowverse-evolve-bp01-advent-of-genesis-goliath?page=1;None;
280681716087764000000000000000000000000;BP01: Advent of Genesis;bp01;Maid Leader (Evolved);BP01-035EN;Silver;http://tcgplayer.com/product/502220/shadowverse-evolve-bp01-advent-of-genesis-maid-leader-evolved?page=1;None;
152356910567052000000000000000000000000;BP01: Advent of Genesis;bp01;Maid Leader;BP01-034EN;Silver;http://tcgplayer.com/product/502219/shadowverse-evolve-bp01-advent-of-genesis-maid-leader?page=1;None;
82657443965860800000000000000000000000;BP01: Advent of Genesis;bp01;Themis's Decree;BP01-131EN;Gold;http://tcgplayer.com/product/502107/shadowverse-evolve-bp01-advent-of-genesis-themiss-decree?page=1;None;
163687439431418000000000000000000000000;BP01: Advent of Genesis;bp01;Magic Sediment;BP01-T10EN;None;http://tcgplayer.com/product/502446/shadowverse-evolve-bp01-advent-of-genesis-magic-sediment?page=1;None;
296846451203230000000000000000000000000;BP01: Advent of Genesis;bp01;Forest Bat;BP01-T15EN;None;http://tcgplayer.com/product/502456/shadowverse-evolve-bp01-advent-of-genesis-forest-bat?page=1;None;
117489994709535000000000000000000000000;BP01: Advent of Genesis;bp01;Sorcery Cache;BP01-072EN;Bronze;http://tcgplayer.com/product/502127/shadowverse-evolve-bp01-advent-of-genesis-sorcery-cache?page=1;None;
153744720622043000000000000000000000000;BP01: Advent of Genesis;bp01;Cerberus (Evolved);BP01-102EN;Legendary;http://tcgplayer.com/product/502198/shadowverse-evolve-bp01-advent-of-genesis-cerberus-evolved?page=1;None;
63660810810535700000000000000000000000;BP01: Advent of Genesis;bp01;Ninja Trainee;BP01-042EN;Bronze;http://tcgplayer.com/product/502239/shadowverse-evolve-bp01-advent-of-genesis-ninja-trainee?page=1;None;
336702435327538000000000000000000000000;BP01: Advent of Genesis;bp01;Knight;BP01-T05EN;None;http://tcgplayer.com/product/502436/shadowverse-evolve-bp01-advent-of-genesis-knight?page=1;None;
256927114645943000000000000000000000000;BP01: Advent of Genesis;bp01;Ancient Elf;BP01-002EN;Legendary;http://tcgplayer.com/product/502064/shadowverse-evolve-bp01-advent-of-genesis-ancient-elf?page=1;None;
52588830973055000000000000000000000000;BP01: Advent of Genesis;bp01;Pompous Princess;BP01-039EN;Silver;http://tcgplayer.com/product/502236/shadowverse-evolve-bp01-advent-of-genesis-pompous-princess?page=1;None;
276213837218472000000000000000000000000;BP01: Advent of Genesis;bp01;Goblin;BP01-171EN;Bronze;http://tcgplayer.com/product/502110/shadowverse-evolve-bp01-advent-of-genesis-goblin?page=1;None;
93213769811158900000000000000000000000;BP01: Advent of Genesis;bp01;Golem Protection;BP01-063EN;Silver;http://tcgplayer.com/product/502105/shadowverse-evolve-bp01-advent-of-genesis-golem-protection?page=1;None;
80703669395360500000000000000000000000;BP01: Advent of Genesis;bp01;Okami;BP01-021EN;Bronze;http://tcgplayer.com/product/502141/shadowverse-evolve-bp01-advent-of-genesis-okami?page=1;None;
206292100463023000000000000000000000000;BP01: Advent of Genesis;bp01;Dire Bond;BP01-108EN;Gold;http://tcgplayer.com/product/502206/shadowverse-evolve-bp01-advent-of-genesis-dire-bond?page=1;None;
